"URL","Title","Description","Provider","Timestamp"
"https://github.com/nomic-ai/gpt4all","GitHub - nomic-ai/gpt4all: gpt4all: a chatbot trained on a massive ...","gpt4all: a chatbot trained on a massive collection of clean assistant data including code, stories and dialogue - GitHub - nomic-ai/gpt4all: gpt4all: a chatbot trained on a massive collection of cl...","GitHub","2023-03-28T23:25:14.327000+00:00"
"https://docs.google.com/spreadsheets/d/1NYYa6vHiRnk5kwnyYaCT0cBO62--Tm3w4ihdBtp4ISk/edit","OA Data Augmentation Status","Datasets

Status,GH Issue,Location of Processed Dataset,Code Location,Owner,License,Notes
summary <-> fulltext,Done,https://huggingface.co/datasets/MyloBishop/reverse_summarization_dataset,Jordine/Andreas/Chris...","Google Docs","2023-03-28T15:59:11.907000+00:00"
"https://codeberg.org/xloem/commitdata","commitdata",,"Codeberg.org","2023-03-27T11:09:15.832000+00:00"
"https://huggingface.co/datasets/RyokoAI/Fandom23K","RyokoAI/Fandom23K · Datasets at Hugging Face",,,"2023-03-20T20:56:04.106000+00:00"
"https://arxiv.org/abs/2303.09540","SemDeDup: Data-efficient learning at web-scale through semantic ded...","Progress in machine learning has been driven in large part by massive
increases in data. However, large web-scale datasets such as LAION are largely
uncurated beyond searches for exact duplicates, potentially leaving much
redundancy. Here, we introduce SemDeDup, a method which leverages embeddings
from pre-trained models to identify and remove s...","arXiv.org","2023-03-17T18:19:25.498000+00:00"
"https://huggingface.co/spaces/togethercomputer/OpenChatKit","OpenChatKit - a Hugging Face Space by togethercomputer",,,"2023-03-14T09:29:02.839000+00:00"
"https://laion.ai/blog/oig-dataset/","The OIG Dataset | LAION","The Open Instruction Generalist (OIG) dataset is a large open source instruction dataset that curr...",,"2023-03-14T09:29:02.839000+00:00"
"https://github.com/LAION-AI/Open-Assistant/issues/1888**","Issues · LAION-AI/Open-Assistant","OpenAssistant is a chat-based assistant that understands tasks, can interact with third-party systems, and retrieve information dynamically to do so. - Issues · LAION-AI/Open-Assistant","GitHub","2023-02-25T23:42:04.245000+00:00"
"https://huggingface.co/datasets/stanfordnlp/SHP","stanfordnlp/SHP · Datasets at Hugging Face",,,"2023-02-25T23:06:50.398000+00:00"
"https://arxiv.org/abs/2208.01009","Few-shot Adaptation Works with UnpredicTable Data","Prior work on language models (LMs) shows that training on a large number of
diverse tasks improves few-shot learning (FSL) performance on new tasks. We
take this to the extreme, automatically extracting 413,299 tasks from internet
tables - orders of magnitude more than the next-largest public datasets.
Finetuning on the resulting dataset leads ...","arXiv.org","2023-02-25T02:46:07.708000+00:00"
